scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage
BR-06,1,0,1,0,1,0.0,1.0,0,1,0.5378000205382705,True,ADVANCE,11,1441.9177913467624,0.13360053440213762
BR-06,2,0,2,0,2,0.0,1.0,0,1,0.0315000070258975,True,ADVANCE,14,1441.9177913467624,0.2004008016032064
BR-06,3,0,3,0,3,0.0,1.0,0,1,0.021799991372972727,True,ADVANCE,9,1601.474805833616,0.26720106880427524
BR-06,4,0,4,0,4,0.0,1.0,0,1,0.026200024876743555,True,ADVANCE,13,1282.360776859909,0.33400133600534404
BR-06,5,0,3,0,5,0.0,10.0,0,-1,0.05730002885684371,True,ADVANCE,11,1129.9303907247136,0.33400133600534404
BR-06,6,0,4,1,3,0.46830848979028983,-9.989028339052318,0,1,0.04569999873638153,True,ADVANCE,8,1022.8734649112389,0.33400133600534404
BR-06,7,0,5,0,5,0.0,1.0,0,1,0.02050003968179226,True,ADVANCE,3,1000.0,0.4008016032064128
BR-06,8,0,6,0,6,0.0,1.0,0,1,0.020299979951232672,True,ADVANCE,10,1000.0,0.46760187040748163
BR-06,9,0,7,0,7,0.0,1.0,0,1,0.01810002140700817,True,ADVANCE,9,1055.6379982778428,0.5344021376085505
BR-06,10,0,8,0,8,0.0,1.0,0,1,0.019400031305849552,True,ADVANCE,10,2000.0,0.6012024048096193
BR-06,11,0,8,0,9,9.999820004859853,0.05999892002915911,0,0,0.03860000288113952,False,WAIT,4,1000.0,0.6012024048096193
BR-06,12,0,9,0,9,0.0,1.0,0,1,0.02139998832717538,True,ADVANCE,9,1055.6379982778428,0.6680026720106881
BR-06,13,0,10,0,10,0.0,1.0,0,1,0.018200022168457508,True,ADVANCE,3,1000.0,0.7348029392117569
BR-06,14,0,10,0,11,7.091437707408559,-7.050639066208397,0,0,0.04469999112188816,False,WAIT,8,1022.8734649112389,0.7348029392117569
BR-06,15,0,11,0,11,0.0,1.0,0,1,0.018300022929906845,True,ADVANCE,10,1022.8734649112389,0.8016032064128256
BR-06,16,0,12,0,12,0.0,1.0,0,1,0.018199963960796595,True,ADVANCE,5,1000.0,0.8684034736138945
BR-06,17,0,13,0,13,0.0,1.0,0,1,0.017900019884109497,True,ADVANCE,9,1441.9177913467624,0.9352037408149633
BR-06,18,0,14,0,14,0.0,1.0,0,1,0.01869996776804328,True,ADVANCE,9,1000.0,1.002004008016032
BR-06,19,0,15,0,15,0.0,1.0,0,1,0.01769996015354991,True,ADVANCE,4,1000.0,1.068804275217101
BR-06,20,0,16,0,16,0.0,1.0,0,1,0.01769996015354991,True,ADVANCE,9,1040.3091292415716,1.1356045424181698
BR-06,21,0,17,0,17,0.0,1.0,0,1,0.017900019884109497,True,ADVANCE,5,1000.0,1.2024048096192386
BR-06,22,0,18,0,18,0.0,1.0,0,1,0.020299979951232672,True,ADVANCE,10,1641.1803884299545,1.2692050768203071
BR-06,23,0,19,0,19,0.0,1.0,0,1,0.019900035113096237,True,ADVANCE,9,2411.1122905071875,1.3360053440213762
BR-06,24,0,20,0,20,0.0,1.0,0,1,0.018600025214254856,True,ADVANCE,6,1000.0,1.402805611222445
BR-06,25,0,21,0,21,0.0,1.0,0,1,0.026699970476329327,True,ADVANCE,7,1000.0,1.4696058784235138
BR-06,26,0,22,0,22,0.0,1.0,0,1,0.017700018361210823,True,ADVANCE,7,1028.5655007845503,1.5364061456245823
BR-06,27,0,23,0,23,0.0,1.0,0,1,0.019400031305849552,True,ADVANCE,11,2242.6551942635706,1.6032064128256511
BR-06,28,0,24,0,24,0.0,1.0,0,1,0.017400016076862812,True,ADVANCE,6,1011.7436284570214,1.6700066800267204
