scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage,is_in_corridor,fallback_triggered
BR-06,1,0,1,0,1,0.0,3.0,0,1,0.09439996210858226,True,ADVANCE,11,1441.9177913467624,0.13360053440213762,False,False
BR-06,2,0,2,0,2,0.0,3.0,0,1,0.028999987989664078,True,ADVANCE,14,1441.9177913467624,0.2004008016032064,False,False
BR-06,3,0,3,0,3,0.0,3.0,0,1,0.023300002794712782,True,ADVANCE,9,1601.474805833616,0.26720106880427524,False,False
BR-06,4,0,4,0,4,0.0,3.0,0,1,0.022599997464567423,True,ADVANCE,13,1282.360776859909,0.33400133600534404,False,False
BR-06,5,1,4,0,5,0.0,3.0,1,0,0.03400002606213093,True,ADVANCE,11,1129.9303907247136,0.4008016032064128,False,True
BR-06,6,1,3,1,3,0.0,-3.0,0,-1,0.022599997464567423,True,ADVANCE,8,1022.8734649112389,0.46760187040748163,False,False
BR-06,7,1,2,1,2,0.0,-3.0,0,-1,0.02080004196614027,True,ADVANCE,3,1000.0,0.5344021376085505,False,False
BR-06,8,1,1,1,0,0.0,-6.0,0,-1,0.022899999748915434,True,ADVANCE,10,1000.0,0.6012024048096193,False,False
BR-06,9,1,0,1,0,0.0,-3.0,0,-1,0.019000028260052204,True,ADVANCE,9,1055.6379982778428,0.6680026720106881,False,False
BR-06,10,2,0,2,0,3.0,0.0,1,0,0.01950003206729889,True,ADVANCE,10,2000.0,0.7348029392117569,False,False
BR-06,11,2,1,2,1,0.0,3.0,0,1,0.02069998299703002,True,ADVANCE,4,1000.0,0.8016032064128256,False,False
BR-06,12,3,1,3,1,3.0,0.0,1,0,0.023500004317611456,True,ADVANCE,9,1055.6379982778428,0.8684034736138945,False,False
BR-06,13,3,0,3,0,0.0,-3.0,0,-1,0.01969997538253665,True,ADVANCE,3,1000.0,0.9352037408149633,False,False
BR-06,14,4,0,4,0,3.0,0.0,1,0,0.020299979951232672,True,ADVANCE,8,1022.8734649112389,1.002004008016032,False,False
BR-06,15,4,1,4,1,0.0,3.0,0,1,0.020299979951232672,True,ADVANCE,10,1022.8734649112389,1.068804275217101,False,False
BR-06,16,4,2,4,2,0.0,3.0,0,1,0.020299979951232672,True,ADVANCE,5,1000.0,1.1356045424181698,False,False
BR-06,17,3,2,3,2,-3.0,0.0,-1,0,0.019899976905435324,True,ADVANCE,9,1441.9177913467624,1.2024048096192386,False,False
BR-06,18,3,3,3,3,0.0,3.0,0,1,0.019700033590197563,True,ADVANCE,9,1000.0,1.2692050768203071,False,False
BR-06,19,2,3,2,3,-3.0,0.0,-1,0,0.06330001633614302,True,ADVANCE,4,1000.0,1.3360053440213762,False,False
BR-06,20,2,4,2,4,0.0,3.0,0,1,0.024900014977902174,True,ADVANCE,9,1040.3091292415716,1.402805611222445,False,False
BR-06,21,2,5,2,5,0.0,3.0,0,1,0.023300002794712782,True,ADVANCE,5,1000.0,1.4696058784235138,False,False
BR-06,22,1,5,1,5,-3.0,0.0,-1,0,0.02150004729628563,True,ADVANCE,10,1641.1803884299545,1.5364061456245823,False,False
BR-06,23,0,5,0,5,-3.0,0.0,-1,0,0.020199979189783335,True,ADVANCE,9,2411.1122905071875,1.6032064128256511,False,False
BR-06,24,0,6,0,6,0.0,3.0,0,1,0.019099970813840628,True,ADVANCE,6,1000.0,1.6700066800267204,False,False
BR-06,25,0,5,0,7,0.0,3.0,0,-1,0.035999983083456755,True,ADVANCE,7,1000.0,1.6700066800267204,True,True
BR-06,26,0,6,0,7,0.0,6.0,0,1,0.021199986804276705,True,ADVANCE,7,1028.5655007845503,1.6700066800267204,False,False
BR-06,27,0,7,0,7,0.0,3.0,0,1,0.020799983758479357,True,ADVANCE,11,2242.6551942635706,1.736806947227789,False,False
BR-06,28,0,8,0,8,0.0,3.0,0,1,0.020200037397444248,True,ADVANCE,6,1011.7436284570214,1.8036072144288577,False,False
BR-06,29,0,9,0,9,0.0,3.0,0,1,0.019499973859637976,True,ADVANCE,5,1000.0,1.8704074816299265,False,False
BR-06,30,0,10,0,10,0.0,3.0,0,1,0.02069998299703002,True,ADVANCE,7,1000.0,1.9372077488309953,False,False
BR-06,31,0,11,0,11,0.0,3.0,0,1,0.01829996472224593,True,ADVANCE,5,1000.0,2.004008016032064,False,False
BR-06,32,0,12,0,12,0.0,3.0,0,1,0.019199971575289965,True,ADVANCE,9,1000.0,2.070808283233133,False,False
BR-06,33,0,13,0,13,0.0,3.0,0,1,0.020300038158893585,True,ADVANCE,8,1000.0,2.137608550434202,True,False
