scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage
BR-06,1,0,1,0,1,2,2,0.02340000355616212,1.0,1,True,ADVANCE,11,1441.9177913467624,0.13360053440213762
BR-06,2,0,2,0,2,3,2,0.008700008038431406,1.0,1,True,ADVANCE,14,1441.9177913467624,0.2004008016032064
BR-06,3,0,3,0,3,3,3,0.006799993570894003,1.0,1,True,ADVANCE,9,1601.474805833616,0.26720106880427524
BR-06,4,0,4,0,4,3,4,0.005999987479299307,1.0,1,True,ADVANCE,13,1282.360776859909,0.33400133600534404
BR-06,5,0,4,0,5,1366,28,1.6635999782010913,-1.0,0,False,WAIT,11,1129.9303907247136,0.33400133600534404
BR-06,6,0,5,0,5,2,2,0.008600007276982069,1.0,1,True,ADVANCE,8,1022.8734649112389,0.4008016032064128
BR-06,7,0,6,0,6,3,4,0.005399982910603285,1.0,1,True,ADVANCE,3,1000.0,0.46760187040748163
BR-06,8,0,7,0,7,3,4,0.004699977580457926,1.0,1,True,ADVANCE,10,1000.0,0.5344021376085505
BR-06,9,0,8,0,8,3,4,0.0048999791033566,1.0,1,True,ADVANCE,9,1055.6379982778428,0.6012024048096193
BR-06,10,0,9,0,9,3,4,0.005100038833916187,1.0,1,True,ADVANCE,10,2000.0,0.6680026720106881
BR-06,11,0,10,0,10,3,3,0.016300007700920105,1.0,1,True,ADVANCE,4,1000.0,0.7348029392117569
BR-06,12,0,11,0,11,3,4,0.007899943739175797,1.0,1,True,ADVANCE,9,1055.6379982778428,0.8016032064128256
BR-06,13,0,12,0,12,3,4,0.005299982149153948,1.0,1,True,ADVANCE,3,1000.0,0.8684034736138945
BR-06,14,0,13,0,13,3,4,0.012999982573091984,1.0,1,True,ADVANCE,8,1022.8734649112389,0.9352037408149633
BR-06,15,0,14,0,14,3,4,0.005499983672052622,1.0,1,True,ADVANCE,10,1022.8734649112389,1.002004008016032
BR-06,16,0,15,0,15,3,3,0.004199973773211241,1.0,1,True,ADVANCE,5,1000.0,1.068804275217101
BR-06,17,0,16,0,16,3,3,0.004900037311017513,1.0,1,True,ADVANCE,9,1441.9177913467624,1.1356045424181698
BR-06,18,0,17,0,17,3,4,0.004800036549568176,1.0,1,True,ADVANCE,9,1000.0,1.2024048096192386
BR-06,19,0,18,0,18,3,4,0.003999972250312567,1.0,1,True,ADVANCE,4,1000.0,1.2692050768203071
BR-06,20,0,19,0,19,3,4,0.0038999714888632298,1.0,1,True,ADVANCE,9,1040.3091292415716,1.3360053440213762
BR-06,21,0,20,0,20,3,4,0.0039000296965241432,1.0,1,True,ADVANCE,5,1000.0,1.402805611222445
BR-06,22,0,21,0,21,3,4,0.012100033927708864,1.0,1,True,ADVANCE,10,1641.1803884299545,1.4696058784235138
BR-06,23,0,22,0,22,3,4,0.00689999433234334,1.0,1,True,ADVANCE,9,2411.1122905071875,1.5364061456245823
BR-06,24,0,23,0,23,3,4,0.004299974534660578,1.0,1,True,ADVANCE,6,1000.0,1.6032064128256511
BR-06,25,0,24,0,24,3,3,0.003999972250312567,1.0,1,True,ADVANCE,7,1000.0,1.6700066800267204
BR-06,26,0,25,0,25,3,4,0.004400033503770828,1.0,1,True,ADVANCE,7,1028.5655007845503,1.736806947227789
BR-06,27,0,25,0,26,1375,47,1.4241999597288668,-1.0,0,False,WAIT,11,2242.6551942635706,1.736806947227789
BR-06,28,0,26,0,26,3,4,0.009000010322779417,1.0,1,True,ADVANCE,6,1011.7436284570214,1.8036072144288577
BR-06,29,0,27,0,27,3,4,0.008800008799880743,1.0,1,True,ADVANCE,5,1000.0,1.8704074816299265
BR-06,30,0,28,0,28,3,4,0.005699985194951296,1.0,1,True,ADVANCE,7,1000.0,1.9372077488309953
BR-06,31,0,29,0,29,3,4,0.004299974534660578,1.0,1,True,ADVANCE,5,1000.0,2.004008016032064
BR-06,32,0,30,0,30,3,4,0.004400033503770828,1.0,1,True,ADVANCE,9,1000.0,2.070808283233133
BR-06,33,0,31,0,31,3,4,0.004199973773211241,1.0,1,True,ADVANCE,8,1000.0,2.137608550434202
BR-06,34,0,32,0,32,3,4,0.004099973011761904,1.0,1,True,ADVANCE,10,1000.0,2.2044088176352705
BR-06,35,0,33,0,33,3,4,0.004900037311017513,1.0,1,True,ADVANCE,8,1282.360776859909,2.2712090848363395
BR-06,36,0,34,0,34,3,4,0.010700023267418146,1.0,1,True,ADVANCE,7,1000.0,2.338009352037408
BR-06,37,0,35,0,35,3,4,0.004799978341907263,1.0,1,True,ADVANCE,11,1601.474805833616,2.404809619238477
BR-06,38,0,36,0,36,3,4,0.0048999791033566,1.0,1,True,ADVANCE,8,1000.0,2.4716098864395457
BR-06,39,0,37,0,37,3,4,0.0048999791033566,1.0,1,True,ADVANCE,8,1011.7436284570214,2.5384101536406143
BR-06,40,0,38,0,38,3,4,0.00400003045797348,1.0,1,True,ADVANCE,11,1800.7374029168082,2.6052104208416833
