scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage,replan_triggered,cells_changed,km_value
BR-06,1,0,1,0,1,2,2,0.08040003012865782,1.0,1,True,ADVANCE,11,1441.9177913467624,0.13360053440213762,False,0,0.0
BR-06,2,0,2,0,2,2,2,0.13020000187680125,1.0,1,True,ADVANCE,14,1441.9177913467624,0.2004008016032064,True,975,0.0
BR-06,3,0,3,0,3,2,2,0.0665000407025218,1.0,1,True,ADVANCE,9,1601.474805833616,0.26720106880427524,True,1049,0.0
BR-06,4,0,4,0,4,2,2,0.05860003875568509,1.0,1,True,ADVANCE,13,1282.360776859909,0.33400133600534404,True,967,0.0
BR-06,5,0,4,0,5,1,1,0.041300023440271616,-1.0,0,False,WAIT,11,1129.9303907247136,0.33400133600534404,True,990,0.0
BR-06,6,0,5,0,5,1,3,13.852800009772182,1.0,1,True,ADVANCE,8,1022.8734649112389,0.4008016032064128,True,777,0.0
BR-06,7,0,6,0,6,2,2,0.1433000434190035,1.0,1,True,ADVANCE,3,1000.0,0.46760187040748163,True,578,0.0
BR-06,8,0,7,0,7,2,2,0.0591999851167202,1.0,1,True,ADVANCE,10,1000.0,0.5344021376085505,True,715,0.0
BR-06,9,0,8,0,8,2,2,0.05670002428814769,1.0,1,True,ADVANCE,9,1055.6379982778428,0.6012024048096193,True,849,0.0
BR-06,10,0,9,0,9,2,2,0.058999983593821526,1.0,1,True,ADVANCE,10,2000.0,0.6680026720106881,True,825,0.0
BR-06,11,0,10,0,10,2,2,0.05570001667365432,1.0,1,True,ADVANCE,4,1000.0,0.7348029392117569,True,561,0.0
BR-06,12,0,11,0,11,2,2,0.054800009820610285,1.0,1,True,ADVANCE,9,1055.6379982778428,0.8016032064128256,True,610,0.0
BR-06,13,0,12,0,12,2,2,0.057299970649182796,1.0,1,True,ADVANCE,3,1000.0,0.8684034736138945,True,560,0.0
BR-06,14,0,13,0,13,2,2,0.05570001667365432,1.0,1,True,ADVANCE,8,1022.8734649112389,0.9352037408149633,True,561,0.0
BR-06,15,0,14,0,14,2,2,0.05560001591220498,1.0,1,True,ADVANCE,10,1022.8734649112389,1.002004008016032,True,814,0.0
BR-06,16,0,15,0,15,2,2,0.060399994254112244,1.0,1,True,ADVANCE,5,1000.0,1.068804275217101,True,807,0.0
BR-06,17,0,16,0,16,2,2,0.05420000525191426,1.0,1,True,ADVANCE,9,1441.9177913467624,1.1356045424181698,True,609,0.0
